코드	질문	label
182A	코호트 격리 헤제 기준은?	170
194C	자가격리시 물건 이용법	193
62A	마스크는 어떤 기능을 하나요?	455
234C	어떤 질환이 코로나에 더 취약하게 만들어?	272
46A	일상 소독 	408
125A	병을 갖고 있던 아이가 코로나 걸리면 중증환자 될 가능성 높겠죠?	44
245A	격리 중에 코로나 아닌 질병도 치료비용이 나오나요?	286
193A	격리해지 임상경과 기준 근거이 궁금합니다.	190
73B	CDC가 수입 규제하는 동물 제품에 대해 알려줘	477
246A	주민등록 말소 격리입원 치료비 지원 과정	287
133A	코로나로 바쁠때 아이들의 공부는 어떻게 도와줘야 할까요?	63
54A	성인과 어린이의 코로나 증상	433
21B	학교가 혼자서 휴교 결정 내릴 수 있어?	246
246A	주민등록이 말소 된경우 격리입원 치료비는 어떻게 지원받을까요?	287
5D	증상이 있어 조사가 필요한 상황이라 신고했을 시 X-ray비용은 제가 부담하나요?	451
147C	외국인들도 한국 입국시 온도를 측정하는 규칙이 정해져 있나요?	95
34A	학교는 코로나를 대비 하기 위해서 어떤 준비를 하고 있어요?	383
185A	무증상으로 확진이 되었는데 격리해제 기준이 어떻게 되나요?	175
204B	장례식에서 코로나 주의사항을 알려주세요	215
147A	체온이 높은데 비행기 못타요?	93
246A	주민등록 말소 내국인 격리입원 치료비 지원 과정	287
191B	한국사람이 아니라 자가격리 중이에요 출국 가능한가요? 무증상인데	186
88A	공공장소에 있는 비누 써도 괜찮을까?	504
85A	감기랑 코로나 증상 구별 가능?	501
33A	학교 급식 제공 방법	380
157B	알맞은 손 소독제 알코올량	127
44A	코로나 19 택배로 감염될 가능성	403
279A	짜증나게 하네	366
143B	타국 출국 시 체온	86
136A	아이들도 마스크 꼭 써야하냐?	66
251A	코로나로 확진이 되면 한국에서 치료비를 지원해주나요?	305
4C	하기도 검체는 무엇인가요?	422
132D	어린 아이의 만성질환이 악화되었는데 어떻게 하죠?	62
18A	단계적 개방 집이 없는 아이들	182
147C	외국인 온도 측정	95
98A	1단계 거리두기 지침	522
80A	최근 다른 지역에서 들여온 동물에 대해서 어떻게 코로나 예방을 할 수 있을까?	493
11C	유전자 검사 이유 	35
28A	동네에 코로나 감염자가 없더라도 학교가 대비를 위해 할 수 있는 일	371
244A	다른 나라에서 온 사람들의 격리입원치료비 지급받는 방법이 궁금합니다.	284
11D	국내에서 코로나 진단하는데 항체 검사가 사용되나요?	36
10B	응급용 코로나 선별 검사 결과로 양성일 때 코로나 확진 검사도 해야하는 경우 급여 청구는 어떤 식으로 하나요?	17
249A	코로나로 인해 기저질환이 강해지면 격리입원치료비를 받을 수 있나요?	292
94D	마스크 빨아서 써도 안전한가요?	517
188B	생활치료센터에 들어가는 기준에 대해 알려주세요	180
194B	격리중에는 화장실을 어떻게 이용해하나요?	192
210D	코로나 응급 증상	230
264B	코로나 바이러스가 음식 배달 포장 표면에서 생존 할 수 있나요?	334
194D	자가격리 중 주변환경 관리	194
19B	덴마크 대면 학습 상황	204
129A	COVID-19 기간에 아이가 새 일상 적응 어려워 하는데 어떻게 하면 좋죠?	53
1A	가래가 있는 환자에서는 하기도 검체도 채취하나요?	206
65B	동물을 만질 때 뭘 조심하면 됨?	461
153A	비행기 여행이 코로나에 감염될 확률을 높이나요?	114
272B	한국 코로나 사망자 숫자는?	353
236B	담배가 코로나 감염에 촉매가 될 수 있나요?	275
253A	본인 부담금을 낸 경우, 추후 청구	310
150C	우한 방문 후에 한국 들어가는 법	107
78A	어떤 동물들이 코로나 안걸릴까?	487
66C	어떻게 동물들이 코로나에 감염되어요?	464
277A	한국 방역 절차를 알려주세요	364
195B	격리 위반시 벌금	196
68B	개랑 개공원에 갈때 지켜야 할 사항들 알려줘	467
244A	외국인의 격리입원치료비 지급방법을 알려주세요	284
177A	임신 한 사람도 코로나 검사를 받나요?	160
229A	코로나 폐 딱딱한 염증	259
121A	환기 때매 공기로 코로나 퍼지는거 아니에요?	38
222B	집에 있는데 증상이 있으면 연락을 어디에 할 수 있나요?	250
130A	지금 시국에 아이가 친구들과 어울리게 해도 안전할까요?	57
149C	공항에서 코로나로 의심 된다는데 어떻게 되는거죠?	102
132C	현재 병원에 가면 아이들이 코로나에 위험할 수 있나요?	61
83B	코로나 유증상자가 다른 사람과 함께 거주할 때 식사는 어떻게 해야해요?	497
194B	자가격리할 때 화장실 이용요령	192
118A	같이 사는 사람이 기침하는데 어떻게해?	29
172A	코로나 검사 절차 중국 외 입국	153
76A	코로나 고양이 	484
212B	K95로 코로나 감염을 막을 수 있는건가요?	235
198A	격리해제 검사 결과가 미결정이면 어떻게 되는건가요?	201
228B	마른 기침 유무로 코로나 판단이 가능한가요?	258
241A	격리입원치료비 지원범위는 어떻게 되나요?	281
146B	미국 입국 절차에 코로나 검사가 있습니까?	92
148B	요즘 등산은 어려울 까요?	98
244A	외국인 격리입원치료비 지급 절차	284
196A	자가격리를 하면 생활지원을 해 주나요?	198
268D	코로나 바이러스가 첨으로 유래된 동물이 뭐야?	343
237A	격리입원비용 신청서에 진단서를 법정 감염병 신고서로 대체 가능하다고 써있는데 대체 가능한가요?	276
184A	공적인 이익을 위해 일하느라 격리 면제가 됐는데 출국이 가능할까요?	174
112A	지금 시국에 엘리베이터 이용시 주의할 점은?	20
149C	코로나 의심승객 결정 후 절차	102
119A	코로나 관련 루머 믿어도 될까요?	32
259E	코로나 바이러스는 어떤 위도에서 생존력이 높나요?	325
95A	미세먼지 심한날에도 환기를 해야 되는거죠?	519
187A	격리해제된 사람 관리	177
146B	미국 입국 하면 코로나 검사를 하나?	92
24B	불가피하게 수업에 참여하지 못한 경우 출석 확인을 대체할 수 있는 방법	296
209A	접촉자가 되면 대처를 어떻게 해야되는거죠?	225
99F	2.5단계면 학원 운영이 불가능한가요?	528
96A	코로나 기간 중 불가피하게 자리가 붙어있는 경우에는 어떻게 해야하나요?	520
137A	우리지역에 코로나가 터졌을때는 얘들에게 어떻게 해야할까요?	70
141A	비행기에 컨디션이 좋지 않은 사람이 탔는데 어떻게 되는거죠?	79
247A	Remdesivir는 임상실험이 어떻게 되었나요?	288
17A	학생 보호를 위해 선생님들이 할 수 있는 일 	164
277A	입국할때 방역 절차는 어떻게 되나요?	364
107A	코로나 예방을 손소독제 사용 만으로도 할 수 있어요?	11
15A	교내 결석 비율이 높은데 어떡해야할까?	131
254A	COVID-19 후유증 치료에도 건강보험이 적용되나요?	311
280A	땡큐	369
273B	해외 코로나 사망자 수는 얼마나 되죠?	357
77B	야생동물로부터 코로나 감염 예방 	486
274A	코로나 확진자에 대해 알려주세요	360
194A	자가격리를 하는데 행동 주의사항을 알려주세요	191
118C	함께 사는 사람이 열이 나는데 어떻게 생활해야 좋을까요?	31
10A	응급으로 코로나 선별 검사를 했는데 결과가 양성이라 코로나 확진검사를 추가적으로 해야 하는 경우 비용은 누가 부담하나요?	16
110A	항균 필름 붙이는게 효과적이야?	18
269A	코로나 바이러스 이름은 어떻게 지어졌는지 궁금해요	344
35A	학생들에게 코로나 교육	384
127B	저희 아이가 어린이 괴질 증세 보이는데 어떡하죠?	49
178A	COVID19가 수유를 통해 전염 되나요?	161
195C	자가격리를 안하고 나갔는데 징역 인가요?	197
210D	코로나 응급 경고는 어떤것들이 있는지 알려주세요	230
53B	회사의 코로나 환자와 만나지 않았을 때 근무 가능 여부 	432
234A	코로나 증상은 뭐가 있나요?	270
4B	상기도 검체에 대해 알려주시면 감사하겠습니다	421
68A	코로나 기간에 반려견과 개 공원에 가도 괜찮아?	466
97A	사람 간격이 있는 야외는 코로나 안전해?	521
38A	학교가 코로나로 문을 닫아야 할 때 어떤 고려사항이 있는지 알려줘요	387
47B	바이러스가 물품 표면에 붙었을 때 생존 기간	410
222B	집에 있는데 코로나 증상이 보입니다 어디에 컨택할까요?	250
122B	어떻게 기침해야 안전해요?	41
84B	효과적인 소독약	500
26B	원격으로 수업할 때 교과 선생님은 어떻게 출석 기록하나요?	347
279A	하나도 못알아 듣네	366
99B	거리두기 2.5단계의 경우 일반 음식점은 몇시 이후 출입 불가에요?	524
202A	코로나 확진받은 사람이 있었던 곳을 알고 싶어요	211
268B	코로나와 메르스 유래가 같나요?	341
162B	집에서 준비 할만한 코로나 대비 용품들이 있나요?	137
73B	CDC가 규제하는 생물 제품은 뭐가 있어?	477
122A	재채기시 휴지로 입가리기	40
77B	야생 동물에게 코로나 전염 안되려면?	486
7B	의사 환자의 뜻은 무엇인가요?	491
269A	코로나바이러스 이름은 어떻게 지어진건지 궁금합니다.	344
144B	동남아 방문 시 주의사항이 어떻게 되나요?	89
204B	코로나 사망자의 장례 시 해야하지 말아야할 행동이 있나요?	215
208B	코로나 담당자가 개인정보를 물어봐도 되나요?	223
262A	코로나가 성적 행위를 통해 전파 될 수 있는지 궁금해요	330
193A	격리해지 임상경과 기준이 어떻게 되나요?	190
154B	항공기 의심환자 자리 소독	118
243A	생활치료센터에 있는 코로나 확진자도 격리 입원 치료비를 받을 수 있는지 궁금합니다.	283
237A	격리입원비용 신청할 때 의사 소견서를 대체 할 수 있나요?	276
231A	열 외에 다른 코로나 진단 법이 있나요?	263
122B	올바르게 기침 하는 방법 알려줘	41
10A	선별 검사 결과 양성이 나와서 코로나 확진 검사를 또 해야하는데 비용 알려주세요 	16
118C	동거인이 열이 나는데 저는 어떻게 생활해야 안전할까요?	31
155C	해외 여행 중 코로나 관련 진료를 받을 수 있나요?	123
194D	자가격리 중에 주변환경 정리법	194
259F	코로나 바이러스가 잘 사는 계절을 알려주세요	326
94A	소독한 마스크 여러 번 사용 가능해요?	514
33A	식사를 학교에서 해야 하는 경우 어떻게 급식을 제공하면 될까요?	380
247A	렘데 시비르 임상실혐 결과에 대해 알려주세요	288
113A	발열 증상이 있는데 어쩌죠?	21
19C	독일 학교 재개 준비	205
190B	코호트 격리 구역으로 들어 간다는데 병상은 어떻게 관리 되나요?	184
273D	코로나 해외 감염자 수는 얼마나 되나요?	359
272C	국내 코로나 회복한 사람 통계	354
73D	FWS 규제하는 동물 제품	479
171A	나라별 코로나 정보 쉐어링 방법	152
136C	공공장소에서는 마스크를 스스로 못 벗는사람도 착용해야하나요?	68
129B	아이가 거리두기 지키기 힘들어하는데 어쩌죠?	54
94B	마스크를 드라이기로 말려서 사용해도 될까?	515
24A	원격 수업 출석 인정 	295
136B	얘기는 마스크 쓰면 안될까요?	67
141A	항공기에 몸이 좋지 않은 승객은 어떻게 되나요?	79
255A	현재 코로나 사회적 거리두기 3단계가 추진중인가요?	313
12B	코로나 검사 믿어도 되나 	56
72A	박쥐가 코로나 전파시키도 함?	475
259D	코로나 바이러스 온도 관계	324
3B	진료 해주는 선별 진료소 좀 찾아주세요 	392
247A	렘데시비르 임상실험 결과를 알려주세요	288
218C	질병이 퍼지는걸 접촉자 추적으로 해결할 수 있나요?	243
8A	스스로 가래 채취 시 음압실에 가야되겠죠?	508
196A	자가격리 하는데 생활지원은 어떻게 하나요?	198
121A	코로나가 환기 때문에 공기중으로 전파될 수 도 있을까요?	38
7A	누가 코로나 검사를 받을 수 있나요?	490
156B	입국후 몇일 부터 집에 돌아갈 수 있나요?	125
271A	Corona virus	351
151A	COVID-19이 유행하고 있는데 중국여행은 괜찮을까요?	109
263B	코로나 회복 시간	332
12B	코로나 검사 결과가 잘못 나올 수 도 있나요?	56
157A	코로나 기간중 손은 어떻게 씻는게 좋을까요?	126
133A	코로나 시국에 아이의 공부를 지속하려면 어떻게 행동하는게 좋을까요?	63
10A	응급으로 선별 검사를 했을 때 양성이 나온 경우에 추가적으로 코로나 확진검사를 하게 되면 비용이 어떻게 되나요?	16
176A	임산부가 코로나 걸리면 위험해요?	157
4D	검체 채취할 때 아프겠죠??	423
99D	2.5단계인 경우 키즈 카페도 문 닫아요?	526
127C	소아 괴질 위험군은 어떤 사람들인가요?	50
210B	가벼운 코로나 환자는 집에서도 치료가 가능한가요?	228
68B	개 공원에 간다면 COVID-19에 감염될 위험을 낮추기 위해 지켜야 할 현지 지침은 무엇이 있나요?	467
183B	공동격리 세부사항은 어떻게 설정되나요?	173
147B	비행기에 타지 못하는 온도 기준이 몇인가요?	94
158B	보통 어디서 승인을 받은 소독제가 사용 가능한가요?	129
210A	가족이 아프면 어떻게 하는게 좋을까요?	227
259B	COVID19는 어떤 환경에서 잘 번식하죠?	322
254B	의사도 코로나 후유증 치료가 건강보험이 된다는걸 알고있나요?	312
77B	감염된 야생동물에게 코로나 감염 되지 않으려면 어떤 조치 필요해?	486
231B	장염 증상으로 코로나임을 확인 할 수 있는건가요?	264
247A	코로나 치료제로 가장 유력한 렘데시비르의 임상실험 결과는?	288
192B	유증상 환자 격리해제 임상경과 기준이 어떻게 되나요?	188
111A	지인들과 대면 만남은 위험해요?	19
169A	코로나 예방 폐렴 백신	146
182A	공동격리가 해제되는 기준이 있나요?	170
149D	코로나 공항 격리가 되는곳	103
73D	수입해 오는 동물 제품 중 FWS는 어떤 것들을 규제해?	479
83B	코로나 유증상자랑 사는데 밥 어떡하죠?	497
128B	병원 규정상 아이와 함께 있을 수 없을 때 다른 방법 없나요?	52
199A	초기 환자 생활치료센터는 어떻게 들어가죠?	202
54B	애들은 코로나 걸리면 어떤 증상 보여?	434
92A	어떤 경우 썻던 마스크 다시 써도 괜찮나요?	512
218C	코로나 전파 속도 접촉자 추적	243
278A	만나서 반가워	365
191B	다른 나라 사람인데 증상없으니까 자가 격리중 출국 가능?	186
249C	코로나 떄문에 천식이 심해지면 치료비 지원을 받을 수 있나요?	294
61A	마스크가 코로나 걸리는걸 막아줘요?	454
116A	사회적 거리두기 지침 준수 안하면 벌 받나?	27
194B	자가격리시 화장실 이용법	192
139B	코로나 블루 대응법	74
49A	코로나-19 방지 위한 LED 청색광을 이용한 소독	416
254A	코로나 후유증도 건강보험이 적용되나요?	311
256A	검사결과가 조작될 수 있는 여지가 있나요?	315
235A	가래가 있으면 코로나가 아니라 할 수 있나요?	273
63A	코로나가 유행하고 있는데 강아지랑 미국에 가도 될까?	457
21A	어떤 경우 학교가 문을 닫아야 하는지 궁금해요 	245
136B	아기도 마스크를 써야되요?	67
89B	환기 횟수 	506
5D	유증상자 X-ray 찍으면 돈 누가 냄?	451
273C	해외 코로나 회복한 사람 통계	358
147C	타국인들도 한국에 오면 온도를 꼭 제야하나요?	95
250E	약제료가 격리입원치료비에 포함되어 있나요?	303
188B	생활치료센터 입소 기준을 알려주시면 감사하겠습니다.	180
94E	마스크 소독할 때 알코올 써도 되나?	518
156A	해외 출장후 언제 부터 일에 복귀 할 수 있나요?	124
258B	지역사회전파	320
171A	보건 당국과 정보 교류는 어떻게 이루어 지고 있나요?	152
103A	생활 속 거리두기 어떻게 구성되어있는지 알려줘	5
99E	사회적 거리두기 2.5단계는 수도권에서만 시행되나요?	527
96A	COVID-19 기간에 띄어 앉기 할 수 없으면 어떡해?	520
11A	항체 검사 설명 	33
28A	코로나 감염자는 아직 없지만 학교가 해야 할 일이 있을까요?	371
6A	코로나 검체 채취 시 표준주의 뜻 알려주세요 	471
3B	선별 진료소 확인 	392
34A	학교가 코로나 예방 위해 하고 있는 일들은?	383
234C	어떤 질환이 코로나 증상을 심하게 만드나요?	272
47B	물품 표면에 붙은 코로나 바이러스는 몇일 동안 살죠?	410
137B	코로나가 근처에 발생했을시 아이들에게 대처 요령을 알려주세요	71
102A	생활 속 거리두기랑 생활 방역이랑 어떤 차이가 있어요?	4
250E	약제료가 격리입원치료비로 지급되나요?	303
54B	어린이 코로나 증상	434
189A	생활치료센터 입소실 부족 시 조정 절차는 어떻게 되나요?	181
10A	확진 검사 비용	16
266B	코로나 확진자 눈물을 통해 바이러스가 전파 될 수 있나요?	337
68C	강아지 과산화수소 	468
43C	염소계 물질 소독제는 인체의 건강에 안좋아요?	400
41A	손 소독제를 가게에서 구입하지 못하면 직접 만들어도 되나요?	395
155B	현재 해외여행이 위험한 이유를 알려주세요	122
48A	소독은 뭐에요?	412
46A	일상적으로 어떻게 소독해?	408
212B	코로나 감염을 피하려면 마스크가 제일 좋은가요?	235
244B	격리 치료비는 외국인도 지원해줘요?	285
211A	스마트폰으로 접촉자 추적하면 개인정보는 다 공개되는거 아닌가요?	231
147D	체온 검사 기준	96
148C	코로나 고위험군에 속하는데 야외활동 해도 되나요? 	99
189A	생활센터에 입소실이 부족하게 되면 어떻게 되는거죠?	181
20A	비상 운영 계획 내용 	226
26C	원격 수업 시 담임 교사는 출결 처리를 어떻게 하나?	348
162B	코로나 대비 물품	137
234B	코로나 환자가 중증환자로 발전할 가능성은 얼마나 되나요?	271
153B	공항 안도 코로나 위험이 존재 하나요?	115
236A	흡연자들이 코로나 걸리면 더 잘죽어?	274
152A	이시국에 크루즈 여행이라니 말이 안되겠죠?	112
92A	마스크 다시 사용해도 되나?	512
14A	과거 병력을 코로나 검사할 때 묻는 이유	104
105A	코로나 기간의 생활 속 거리두기는 어떤 원리가 있어요?	9
251B	국가 어느 기관에서 코로나 비용을 지급해주나요?	306
102A	거리두기랑 생활방역이 달라?	4
199A	최초 코로나 환자의 생활치료센터 입소절차에 대해 알려주세요	202
200A	확진되고 격리해제 풀렸는데 등교 바로 할 수 있을까요?	209
146B	미국 가게 됬는데 가서도 코로나 검사하는지 궁금해	92
244A	외국인 코로나 진료비 지급 방법	284
180A	코로나가 뱃속에 아기에게도 갈 수 있나요?	165
24D	과제 중심 수업일 때 출석 체크 방식은 뭐야?	298
244B	외국인도 격리 치료비를 받아요?	285
94A	소독한 마스크 다시 써도 됨?	514
256B	의료진 결정권에 국가가 개입이 가능한가요?	316
161A	마스크 이유	133
99E	수도권에서만 거리두기 2.5단계 시행하는거에요?	527
194C	자가격리 시 물품 관리 어떻게 하나요?	193
71B	어떨 때 애완 동물도 코로나 검사를 받아?	474
150B	후베이성 근처에 살았던 중국인은 입국 가능한가요?	106
152A	코로나 시기에 크루즈 여행가도 되나요?	112
11D	항체 검사 결과로 코로나 진단 하는지 궁금해 	36
170B	언제 항생제를 쓰는게 효과적인가요?	151
247B	렘데시비르란 뭔가요?	289
98A	1단계 거리두기 지침이 궁금해	522
94A	소독제 뿌린 마스크 다시 써도 괜찮아?	514
79B	애완동물 미용시킬때 지켜야할 규칙	489
149D	코로나 가능성이 있다는데 격리 되는곳을 알려주세요	103
251C	지시사항을 어겼는데 치료비용을 지원 받을 수 있나요?	307
99B	2.5단계면 몇시까지 식당에서 식사 가능해?	524
5B	응급용 확진 검사 비용 	449
2B	코로나 유전자 검사 결과를 확인하려면 몇일 정도 소요되나요?	374
234B	코로나가 중증으로 커질 확률에 대해 알려주세요	271
109A	실내 예방 수칙	15
137B	코로나가 발병했는데 아이들에겐 뭐라 말하죠?	71
129B	거리두기 권고사항을 아이가 지키기 힘들어 할 때 어떻게 하면 될까요?	54
167A	렌즈 소독액으로 코로나를 예방 할 수 있나요?	143
181B	격리면제란 무엇인가요?	168
73A	수입 동물 제품 취급 방법	476
35A	corona에 대해 어떻게 학생들에게 가르치면 될까?	384
198A	격리해제 검사결과가 미결정일 시 조치 사항	201
40A	소독 후 반드시 하루 동안 사용하지 말아야 하나요?	393
54B	소아 코로나 증상에 대해 알려줘 	434
212A	마스크를 쓰고 있었는데도 밀접 접촉자가 될 수 있나요?	234
141C	비행기에서 사망자가 발생하면 어떻게 되죠?	81
255B	거리두기 3단계로 격상되는 조건을 알려주세요	314
254B	건강 보험이 후유증 치료에도 포함 된다는걸 의료진이 알고 있나요?	312
11C	RT-PCR 유전자 검사를 왜 하는거에요?	35
234B	코로나 증상이 중해질 확률은 얼마나 되는지 알려주세요	271
44B	코로나 바이러스의 주된 전파 경로 	404
150A	중국 여행 후 주의 사항	105
155B	해외여행 안전한가요?	122
66B	코로나 확진자가 강아지를 만졌는데 어쩌죠?	463
230B	코로나가 폐 염증을 가져온 확률	262
99C	사회적 거리두기 2.5단계면 카페는 포장만 가능한건가요?	525
137A	우리지역에 코로나가 터졌을때는 얘들은 뭘 하는게 좋나요?	70
136A	얘들도 마스크 효과가 있나요	66
256B	의료 결정권에 국가가 개입할 수 있나요?	316
194A	현재 자가격리를 하고 있는데 뭘 주의해야 할까요?	191
77A	야생동물이 저희 고양이한테 코로나 옮길 수 도 있을까요?	485
50A	그냥 길거리도 소독해야 되나요?	424
214A	다른 접촉자와 접촉을 한 경우에는 어떻게 해야하는지 궁금합니다	237
181A	격리면제서를 준비 못했는데 나중에 발급 받을 수 있나요?	167
188B	어떤 기준으로 생활센터에 배정되나요?	180
107B	손 소독제 올바르게 사용하려면?	12
245A	자가격리 코로나 외 질병 격리입원치료비	286
176A	배에 아이가 있는데 COVID에 더 위험할까요?	157
230A	코로나에 걸리면 폐렴 염증을 일으키나요?	261
157A	코로나 시국 손 닦는 법	126
207D	밀접 접촉자는 얼마나 자각겨리를 해야하나요?	221
217A	접촉자 추적 중 개인정보	240
207A	접촉자인거 같은데, 접촉 추적은 어떻게 받죠?	218
263A	코로나에서 완벽하게 회복 할 수 있는지 궁금합니다.	331
77A	반려견이 감염 된 야생동물한테 코로나 옮을 수 있나?	485
68C	개를 알코올로 닦아도 괜찮을까?	468
95A	하늘이 뿌연 날에도 환기를 해야 될까요?	519
16A	교내 코로나 확진자 나왔는데 어떡해?	148
123A	아이와 어른에게 나타나는 COVID-19 증상은 차이가 있어요?	42
212B	감염을 막는데 마스크가 도움이 될까요?	235
54A	코로나-19 증상이 어린이와 성인에서 다르게 나타날까요?	433
244A	외국분들의 코로나 진료비 지급 방법	284
173A	일본에서 코로나 해외입국자 입국제한 조치 중인가요?	154
219A	접촉자 추적을 위한 폰 어플이 있나요?	244
276A	유럽 말고 다른 국가에서 입국하는데 검역 절차는 어떻게 되나요?	363
170A	코로나 치료제로 항생제를 사용할 수 있을지 궁금해요	150
92A	어떤 경우 마스크 재사용 가능해?	512
44A	우편물로 인한 코로나 감염	403
218C	접촉자 찾기 코로나 전파	243
234C	어떤 질환을 가지면 코로나가 중증으로 갈 수 있나요?	272
204B	코로나 장례식에서 하면 안되는 일을 알려주세요	215
259B	코로나 생존력이 좋아지는 환경을 알려주세요	322
102A	거리두기랑 생활 방역이랑 어떤게 달라요?	4
151C	중구 여행 시 코로나 유의사항	111
254A	건강보험이 코로나 후유증도 도와주나요?	311
185A	증상없이 확진이 되었는데 격리해제기준이 어떻게 되나요?	175
210A	집에 가족이 같이 사는데 코로나에 걸리면 어떻게 대처하는게 좋을까요?	227
7B	의사 환자는 무엇을 말하는 건가요?	491
107A	손소독제만 있으면 코로나 완전한 예방이 됨?	11
217A	코로나 접촉 추적 중에는 신상정보가 어떻게 되는거죠?	240
113C	발열 증상 보이는 경우 외부활동은 언제부터 할 수 있지?	23
224B	코로나 바이러스 무증상자 전염 방법	253
137B	코로나 바이러스가 근처에 생기면 어떤 말을 아이들에게 하는게 좋을까요?	71
225A	코로나는 독감이란 뭐가 다른지 알려주실 수 있나요?	254
50A	코로나 도로 소독 	424
210D	코로나 경고 증상은 무엇이 있나요?	230
193A	임상경과 기반 격리해제 기준의 근거는 무엇인가요?	190
183B	코호트 격리 설정 기준에 대해알려주세요	173
126A	아이가 기저 질환을 갖고 있는 집은 어떤 추가적인 조치가 필요해?	47
31A	학생들은 corona 방지 위해서 어떤 것들을 할 수 있을까?	377
16A	학교 직원 중 코로나 확진자가 나왔는데 어떻게 해야하죠?	148
137A	우리 아이들은 지역에 코로나가 터지면 어떻게 준비 시켜야하지?	70
259E	COVID-19 longitude	325
84A	가정에서 소독 방법	499
161C	코로나 증상이 없어도 마스크를 착용해야 하나요?	135
273C	외국 코로나 완치자 숫자는?	358
105A	코로나 기간의 생활 속 거리두기 기본 원리 궁금해 	9
65B	코로나 기간 중 동물과 접촉시 주의사항이 있나요?	461
221A	확진자 근처에 있었는데 격리는 안해도 되는거죠?	248
8A	스스로 가래를 채취해야 하는데 음압실 가야겠죠?	508
199A	최초 병원에 있는 확진환자의 생활치료센터 입소 과정에 대한 정보가 있나요?	202
141B	항공사가 제 연락처를 왜 묻는건가요?	80
55A	독감 걸렸는데 동시에 코로나도 걸릴 수 있어요?	435
5E	응급 시 선별 검사 비용은 누가?	452
197A	자택 내 독립된 공간 확보가 안 되는 경우 어떻게 격리하나요?	200
23A	원격 수업 내용도 생기부에 작성됨?	279
43D	4급 암모늄 화합물 소독제를 쓰면 건강에 독이 되나요?	401
211C	코로나 노출 알림 앱이란 무엇인가요?	233
64B	동물 가공시 사냥꾼들이 지켜야 하는 것 	459
84A	가정에서 하기 쉬운 소독법 알려줘	499
50A	코로나19 예방을 위해 공공시설들을 청소하고 소독해야 하나요?	424
44A	우편물이나 소포, 상품으로 인해 covid-19에 노출될 위험이 있습니까?	403
5B	응급 상황에서 실시 한 코로나 확진 검사 비용을 본인이 부담해야 하나요?	449
232A	코로나에 폐 관련 후유증이 있나요?	265
58D	유리 위에서 코로나 바이러스 생존 기간	443
136D	선천적으로 호흡 장애가 있는데 마스크 꼭 써야할까요?	69
266A	코로나 환자의 침으로도 전염이 가능한지 알려주세요	336
89B	하루에 몇번 환기하면 적당한건가요?	506
236B	담배때문에 코로나에 걸릴 수 있나요?	275
141B	연락처를 항공사는 코로나 사태시 어떻게 사용하나요?	80
211A	핸드폰으로 코로나 접촉자 추적을 하면 개인정보 보안에는 문제 없나요?	231
148A	아영장으로의 여행 또는 야영 활동이 위험할까요?	97
38C	Corona 때문에 학교가 문 닫아도 식사 제공 가능?	389
208C	감염자 이름이 접촉자에게 알려지나요?	224
115A	사회적 거리두기 지침에 따라 카페 이용시 주의할점 알려줘	25
151C	코로나 시기 중국 여행 주의사항	111
137B	근처 지역에 코로나가 생기면 아이들에겐 어떻게 알리는게 좋을까요?	71
113B	열이 계속 38도 이상인데 어디에 물어봐야해?	22
108A	하루에 손 얼마나 씻어야해?	13
48D	청소 후 병원체 소독 	415
84B	어떤 약품으로 소독할 때 효과 볼 수 있어?	500
155B	해외 여행 하면 코로나 바이러스에 위험한가요?	122
271A	코로나 바이러스	351
281A	내가 코로나에 걸린지 확인 할 수 있나요?	370
149C	공항에서 코로나 의심 판정을 받았는데 다음 절차에 대해 알려주세요	102
70A	이 시국에 동물 보호소에서 동물 입양도 안전한가요?	472
48B	코로나 바이러스 청소 효과	413
142C	기내 공기 코로나	84
73E	코로나 기간에 미국으로 반려견 수입 할 수 있어?	480
234A	코로나 증상들을 알려줘	270
233B	할아버지들이 코로나에 더 약한가요?	268
249C	심장질환이 코로나로 악화 될 시 치료비용이 지원 되는건가요?	294
214A	접촉자랑 접촉하면 어떻게 행동해야되나요?	237
120A	생활 속 거리두기를 따르기 힘든 경우에는 어떻게 하나요?	37
270A	코로나 바이러스 감염증에 대해 설명해주세요	349
52B	동선 모르는데 어떻게 소독해?	430
271A	뭐가 코로나 바이러스인가요?	351
281A	제가 코로나인지 궁금해요	370
42A	인플루엔자 바이러스와 코로나 바이러스가 비슷한 증상을 보여?	397
73E	코로나 기간에 미국으로 반려견 수입 가능?	480
3B	선별 진료소 알려줘 	392
42A	코로나 바이러스와 인플루엔자 바이러스의 공통점 	397
73A	외국에서 동물 제품 수입해 올 때 어떻게 취급해야 하나요?	476
33B	급식 먹을 때 일회용품 사용이 불가능이면 어떻게 해?	381
42A	코로나랑 인플루엔자랑 무엇이 같아요?	397
211A	인터넷으로 접촉자 추적하면 개인정보보안은 괜찮은가요?	231
157A	손 씻는 법	126
188B	생활치료센터 부합기준	180
268A	코로나 기원	340
188B	생활치료센터로 들어가게 되는 기준 설명	180
5D	의사환자로 신고하였을 때 엑스레이 비용은 누가 부담해요?	451
70A	코로나 시국에 동물 보호소에서 동물 입양해 오면 위험할까?	472
146B	미국 들어가는데 코로나 검사를 하게되나요?	92
245A	자가격리대상자가 코로나19 외 질환으로 병원 치료가 필요한 경우 격리입원치료비 지원 여부는 어떻게 되나요?	286
